7	15	7	15
7	16	7	15
7	16	6	15
6	16	6	16
6	16	6	16
6	16	6	17
5	16	5	17
17	5	17	5
17	5	17	5
18	5	17	5
18	5	17	5
18	5	17	5
18	5	17	5
5	18	5	17
5	18	5	17
5	17	5	17
5	17	5	17
5	17	5	17
6	16	6	16
6	16	6	16
16	6	15	6
16	7	15	7
16	7	15	7
15	7	14	7
15	7	14	7
15	7	14	7
15	7	14	7
15	7	14	14
7	15	7	15
7	16	7	15
7	16	7	15
6	16	6	16
6	16	6	16
6	16	6	17
5	17	5	17
5	17	5	17
17	5	17	5
18	5	17	5
18	5	17	5
18	5	17	5
18	5	17	5
17	5	17	5
17	5	17	5
5	17	6	17
5	16	6	16
6	16	6	16
6	16	6	16
6	16	6	16
6	15	6	16
6	15	6	16
16	7	15	7
16	7	15	7
16	7	15	7
16	7	14	7
16	7	14	7
16	7	15	7
16	7	15	7
16	7	15	7
6	16	7	15
6	16	6	16
6	16	6	16
5	16	6	17
5	17	5	17
5	17	5	18
5	17	5	18
18	5	17	5
18	5	17	5
18	5	17	5
17	5	17	5
17	6	16	5
17	6	16	6
16	6	16	6
6	16	6	16
6	16	6	16
6	15	6	16
6	15	6	16
6	15	6	16
6	15	7	16
6	15	7	16
7	15	7	16
16	7	15	7
16	7	15	7
16	7	15	7
16	7	15	6
16	7	15	6
16	7	15	6
16	7	16	6
16	6	16	6
6	16	6	17
5	16	6	17
5	17	5	17
5	17	5	18
4	17	5	18
4	17	5	18
18	5	17	5
18	5	17	5
17	5	17	5
17	6	16	6
16	6	16	6
16	6	16	6
16	7	16	6
6	15	7	16
7	15	7	16
7	15	7	16
7	15	7	16
7	15	7	15
7	15	7	15
7	15	7	15
7	15	7	16
7	15	7	16
16	6	15	7
16	6	15	6
16	6	16	6
16	6	16	6
16	6	16	6
16	6	17	5
16	6	17	5
5	17	5	18
5	17	5	18
4	17	5	18
4	17	5	18
4	17	5	18
4	17	5	18
5	17	5	18
17	5	17	5
17	5	17	6
16	6	16	6
16	6	16	6
15	7	16	7
15	7	16	7
15	7	16	7
7	15	7	15
7	15	7	15
7	15	7	15
7	15	7	15
7	15	7	15
7	15	7	15
7	15	7	15
7	15	7	16
6	15	6	16
16	6	16	6
16	6	16	6
16	6	17	5
16	6	17	5
16	5	18	5
17	5	18	5
5	17	5	18
4	17	5	18
4	17	4	18
4	17	4	18
4	17	5	18
4	17	5	17
5	17	5	17
17	5	17	5
16	6	16	6
16	6	16	6
15	6	16	7
15	7	16	7
15	7	16	7
14	7	16	7
7	14	7	15
7	14	7	15
7	14	7	15
7	14	7	15
7	15	7	15
7	15	7	15
7	15	7	16
6	15	7	16
6	16	6	16
16	6	16	6
16	6	17	5
16	5	17	5
17	5	18	5
17	5	18	5
17	5	18	4
17	4	18	4
4	17	4	18
4	17	4	18
4	17	4	18
4	17	5	17
5	17	5	17
5	17	5	17
16	5	17	6
16	6	16	6
15	6	16	6
15	6	16	7
15	7	16	7
15	7	16	7
14	7	15	7
14	7	15	7
7	14	7	15
7	14	7	15
7	15	7	15
7	15	7	15
7	15	7	15
7	15	7	16
6	16	6	16
6	16	6	16
6	17	5	16
16	5	17	5
16	5	18	5
17	5	18	5
17	4	18	5
17	4	18	5
17	4	18	5
4	17	4	18
4	17	4	18
5	17	5	17
5	17	5	17
5	17	5	17
5	17	6	16
6	16	6	16
16	6	16	6
15	6	16	7
15	7	16	7
15	7	16	7
14	7	15	7
14	7	15	7
14	7	15	7
14	7	15	7
7	15	7	15
7	15	7	15
7	15	7	16
7	15	6	16
6	16	6	16
6	16	6	16
6	17	5	16
5	17	5	16
16	5	17	5
17	5	18	5
17	5	18	5
17	4	18	5
17	4	18	5
17	4	18	5
5	17	5	17
5	17	5	17
5	17	5	17
5	17	5	16
5	17	5	16
6	16	6	16
6	16	6	15
6	16	6	15
15	6	16	7
15	7	16	7
15	7	15	7
15	7	15	7
15	7	15	7
15	7	15	7
15	7	15	7
15	7	16	7
7	15	6	16
7	16	6	16
6	16	6	16
6	16	5	16
6	17	5	16
5	17	5	17
5	17	5	17
17	5	18	5
17	5	18	5
17	5	18	5
17	5	17	5
17	5	17	5
17	5	17	5
17	5	17	5
6	17	5	16
6	17	5	16
6	17	6	16
6	16	6	16
6	16	6	15
6	16	6	15
6	16	6	
15	7	16	7
15	7	15	7
15	7	15	7
15	7	15	7
15	7	15	7
15	7	15	7
15	6	16	7
16	6	16	7
6	16	6	16
6	16	5	16
6	17	5	17
5	17	5	17
5	18	5	17
5	18	4	17
5	18	4	17
5	18	5	17
17	5	17	5
17	5	17	5
17	5	17	6
17	5	16	6
17	6	16	6
17	6	16	6
6	16	6	16
6	16	6	16
6	16	6	15
6	16	6	15
6	16	6	15
7	16	6	15
7	16	6	15
7	16	7	15
15	7	15	7
15	7	15	7
15	7	15	7
15	7	15	7
15	6	16	6
16	6	16	6
16	6	16	6
17	5	16	6
6	17	5	17
5	18	5	17
5	18	4	17
5	18	4	17
4	18	4	17
4	18	4	17
5	18	5	17
17	5	17	5
17	5	17	5
17	6	16	6
16	6	16	6
16	6	15	6
16	6	15	7
16	7	15	7
7	16	7	15
7	16	7	15
7	16	7	15
7	16	6	15
7	16	6	15
7	16	7	15
7	15	7	15
7	15	6	15
15	7	16	6
15	6	16	6
16	6	16	6
16	6	16	6
17	6	16	6
17	5	16	5
18	5	17	5
18	5	17	5
5	18	4	17
4	18	4	18
4	18	4	18
4	18	4	18
4	18	4	17
5	17	5	17
17	5	17	5
17	5	16	6
17	6	16	6
16	6	15	6
16	7	15	7
16	7	15	7
16	7	15	7
16	7	15	7
7	15	7	15
7	15	7	15
7	15	7	15
7	15	7	15
7	15	7	15
7	15	7	15
7	16	6	15
6	16	6	7
16	6	16	6
16	6	16	6
17	6	16	5
17	5	16	5
